사고신고사유,사고일시,공정율,날씨,지역,공사종류,공사비,공종소분류,사망자,내국인사망자,외국인사망자,남성사망자,여성사망자,10이상20미만 사망자,20이상30미만 사망자,30이상40미만 사망자,40이상50미만 사망자,50이상60미만 사망자,60이상사망자,부상자,내국인부상자,외국인부상자,남성부상자,여성부상자,10이상20미만 부상자,20이상30미만 부상자,30이상40미만 부상자,40이상50미만 부상자,50이상60미만 부상자,60이상부상자
3일이상 휴업이 필요한 부상,2019-07-01 07:10:00,20~29%,맑음,경기도,건축/건축물/업무시설,10억 ~ 20억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
기타,2019-07-01 08:50:00,80~89%,강우,경기도,건축/건축물/공동주택,150억 ~ 200억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-01 09:30:00,60~69%,맑음,경기도,토목/옹벽 및 절토사면/옹벽,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 10:00:00,90% 이상,맑음,인천광역시,토목/터널/철도터널,"500억 ~ 1,000억원 미만",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-01 10:10:00,50~59%,맑음,경기도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 10:30:00,20~29%,흐림,경기도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
기타,2019-07-01 11:15:00,30~39%,흐림,전라남도,토목/기타,50억 ~ 100억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
기타,2019-07-01 11:50:00,10~19%,맑음,제주특별자치도,건축/건축물/공동주택,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 13:30:00,90% 이상,흐림,부산광역시,건축/건축물/공장,"2,000만 ~ 4,000만원 미만",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 13:40:00,30~39%,흐림,울산광역시,건축/건축물/교육연구시설,100억 ~ 150억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 14:00:00,60~69%,맑음,서울특별시,건축/건축물/판매시설,100억 ~ 150억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 16:00:00,10% 미만,맑음,경기도,건축/건축물/공장,"500억 ~ 1,000억원 미만",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 17:00:00,30~39%,흐림,충청남도,건축/건축물/공동주택,"1,000억원 이상",건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 07:30:00,50~59%,맑음,경상남도,건축/건축물/공동주택,"1,000억원 이상",전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 07:30:00,50~59%,맑음,경기도,건축/건축물/문화 및 집회시설,10억 ~ 20억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 07:30:00,10% 미만,맑음,경상북도,토목/항만/기타,200억 ~ 300억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
