,Process rate,Weather,Construction Cost,Construction Category,Fatality,Injuries
0,2,0,1500,0,0,1
1,8,2,17500,1,0,1
2,6,0,150000,1,0,1
3,9,0,75000,1,0,1
4,5,0,75000,2,0,1
5,2,1,150000,0,0,1
6,3,1,7500,1,0,1
7,1,0,40000,3,0,1
8,9,1,30,0,0,1
9,3,1,12500,2,0,1
10,6,0,12500,0,0,1
11,0,0,75000,1,0,1
12,3,1,150000,4,0,1
13,5,0,150000,2,0,1
14,5,0,1500,1,0,1
15,0,0,25000,0,0,1
16,6,0,750,5,0,1
17,2,0,40000,6,0,1
18,1,0,150000,6,0,1
19,9,0,17500,2,0,1
20,3,0,7500,1,0,1
21,1,1,150000,3,0,1
22,9,0,150000,7,0,1
23,9,0,40000,6,0,1
24,6,0,150000,1,0,1
25,5,0,150000,1,0,1
26,5,0,30,6,0,1
27,6,0,150000,0,0,1
28,9,0,400,8,0,1
29,5,0,40000,3,0,1
30,7,0,40000,0,0,1
31,3,1,17500,3,0,1
32,6,0,750,9,0,1
33,6,0,5,10,0,1
34,5,0,7500,9,0,1
35,1,3,75000,7,0,1
36,7,0,150000,3,0,1
37,9,0,150000,3,0,1
38,8,1,25000,0,0,1
39,3,2,3500,3,0,1
40,8,0,1500,9,0,1
41,3,0,40000,3,0,1
42,8,0,3500,7,0,1
43,6,0,12500,3,0,1
44,8,2,1500,11,0,1
45,9,0,150000,0,0,1
46,2,0,150000,3,0,1
47,1,0,150000,1,0,1
48,4,0,1500,2,1,0
49,9,1,7500,5,0,1
50,9,0,30,7,0,1
51,7,0,40000,7,1,0
52,7,1,750,7,0,1
53,1,0,40000,1,0,1
54,1,0,150000,12,0,1
55,5,0,1500,13,0,1
56,6,0,25000,3,0,1
57,8,3,12500,6,0,1
58,9,3,150000,14,0,1
59,6,0,150000,0,0,1
60,3,0,150,7,1,3
61,1,0,150000,3,0,1
62,0,0,7500,4,0,1
63,4,1,75000,5,0,1
64,8,0,150000,2,0,1
65,5,0,150000,3,0,1
66,4,0,3500,0,0,1
67,9,0,7500,6,1,0
68,9,0,75000,3,0,1
69,5,0,150000,12,0,1
70,9,0,30,3,0,1
71,2,0,150000,3,0,1
72,9,0,250,15,0,1
73,8,2,17500,1,0,1
74,9,0,150,0,0,1
75,2,0,150000,0,0,1
76,7,3,75000,3,0,1
77,9,0,12500,3,0,1
78,8,0,25000,10,0,1
79,9,0,7500,0,0,1
80,3,1,3500,7,0,1
81,3,0,150000,1,0,1
82,9,0,75000,4,0,1
83,8,0,150000,1,0,1
84,6,0,75000,11,1,0
85,1,1,150000,1,0,1
86,7,1,400,16,0,1
87,7,0,1500,6,0,1
88,9,0,150000,10,0,1
89,0,0,750,3,0,1
90,6,0,25000,6,1,0
91,1,1,12500,3,0,1
92,7,1,17500,13,0,1
93,9,0,400,0,0,2
94,4,0,12500,3,0,1
95,2,0,12500,7,0,1
96,1,0,150000,1,0,1
97,4,0,17500,17,0,1
98,9,0,40000,3,0,1
99,0,0,150,0,1,0
100,2,1,150000,0,0,1
101,7,1,7500,3,0,1
102,1,0,150000,0,0,1
103,4,0,150000,0,0,1
104,1,0,12500,2,0,1
105,0,1,7500,3,0,1
106,3,0,150000,0,0,1
107,7,0,7500,9,0,1
108,4,0,25000,3,0,1
109,0,0,150000,0,0,1
110,4,0,75000,18,0,1
111,1,1,75000,1,0,1
112,9,1,25000,0,1,1
113,9,0,75000,0,0,1
114,7,0,1500,1,0,1
115,2,0,150000,3,0,1
116,8,0,25000,13,0,1
117,7,1,40000,13,0,1
118,9,0,40000,0,0,1
119,2,0,12500,0,0,1
120,8,0,7500,19,0,1
121,0,0,12500,4,0,1
122,1,0,25000,7,0,1
123,2,1,150000,1,1,0
124,5,0,75000,3,0,1
125,8,1,150000,1,0,1
126,0,0,150000,0,0,1
127,6,2,40000,1,0,1
128,7,0,7500,0,0,1
129,7,0,750,4,1,0
130,8,4,3500,6,0,1
131,0,0,400,1,1,0
132,7,0,5,0,0,1
133,4,1,12500,1,0,1
134,7,0,150000,1,0,1
135,3,0,150000,1,0,1
136,9,0,150000,19,0,1
137,0,0,75000,1,0,1
138,8,0,150000,13,0,1
139,6,0,75000,3,0,1
140,6,0,40000,11,1,0
141,6,0,75000,0,0,1
142,9,1,400,18,0,1
143,2,0,7500,7,0,1
144,6,1,1500,7,0,1
145,8,2,150000,2,0,1
146,9,0,150000,14,0,1
147,9,1,150000,0,1,0
148,9,2,150000,0,0,1
149,1,0,150000,7,0,1
150,1,0,7500,7,0,1
151,6,0,150000,0,0,1
152,5,1,7500,0,0,1
153,1,2,75000,3,0,1
154,5,1,1500,0,0,1
155,5,1,3500,7,0,1
157,9,1,750,13,0,1
158,6,0,75000,0,0,1
159,8,0,75000,0,0,1
160,3,0,1500,0,0,1
162,1,0,25000,0,0,1
163,6,0,7500,0,0,1
164,3,0,17500,3,0,1
165,1,1,25000,7,0,1
166,9,0,25000,20,0,1
167,3,0,25000,3,0,1
168,3,0,250,1,0,1
169,1,0,150000,1,0,1
170,0,0,40000,1,0,1
171,5,0,40000,3,0,1
172,8,1,7500,5,0,1
173,7,0,150000,3,0,1
174,9,0,400,17,0,1
175,6,1,75000,7,0,1
176,8,1,75000,21,0,1
177,4,0,150000,0,0,1
178,3,0,17500,3,0,1
179,6,0,400,3,0,1
180,5,0,25000,1,0,1
181,1,0,150000,0,0,1
182,0,1,1500,0,0,1
183,1,1,150000,1,0,1
184,5,0,3500,3,0,1
185,3,0,7500,3,0,1
186,9,1,3500,1,0,1
187,4,0,3500,0,0,1
188,8,0,25000,1,0,1
189,3,0,150000,22,0,1
190,6,0,750,0,0,1
191,9,0,150000,13,1,0
192,6,0,750,1,0,1
193,7,3,150000,1,0,1
194,0,0,3500,2,0,1
195,6,1,150000,3,0,1
196,4,1,3500,13,1,0
197,2,1,150000,0,0,1
198,2,0,12500,3,0,1
199,4,1,150000,0,0,1
200,8,0,40000,9,0,1
201,9,0,75000,0,0,1
202,3,1,25000,1,0,1
203,6,2,150000,16,0,1
204,9,0,150000,0,0,1
205,6,1,150000,3,0,1
206,8,1,150000,0,0,1
207,6,0,12500,1,0,1
208,9,1,1500,3,0,1
209,4,1,3500,7,0,1
210,3,0,12500,3,0,1
211,3,0,12500,3,0,1
212,7,0,7500,0,0,1
213,4,1,12500,6,0,1
214,6,1,150000,0,0,1
215,0,1,750,4,0,1
216,0,0,3500,0,0,1
217,5,1,40000,19,0,1
218,4,0,750,15,0,1
219,8,0,750,18,0,1
220,8,2,40000,0,0,1
221,0,1,1500,3,0,1
222,2,0,75000,3,0,1
223,8,0,25000,7,0,1
224,4,0,3500,3,0,1
225,4,0,750,15,0,1
226,9,0,70,3,0,1
227,8,0,40000,3,0,1
228,0,0,40000,4,0,1
229,2,1,150000,1,0,1
230,4,0,400,2,0,1
231,3,1,3500,3,0,1
232,2,0,7500,3,0,1
233,7,0,150000,0,0,1
234,1,1,17500,0,0,1
235,3,0,17500,1,0,1
236,7,0,75000,7,0,1
237,8,0,400,5,0,1
238,7,1,150000,17,0,1
239,6,0,75000,7,0,1
240,9,0,75000,21,0,1
241,9,1,400,0,0,1
242,8,2,150000,23,0,1
243,6,1,40000,1,0,1
244,7,0,7500,2,0,1
245,5,0,750,1,0,1
246,2,2,400,3,0,1
247,5,0,3500,19,0,1
248,9,0,75000,0,0,1
249,4,0,75000,0,0,1
250,9,0,150000,0,0,1
251,4,2,1500,17,0,1
252,6,1,150000,2,0,1
253,2,1,17500,1,0,1
254,5,0,150000,0,0,1
255,1,0,150000,0,0,1
256,1,0,150000,3,0,1
257,1,0,7500,0,0,1
258,8,2,750,17,0,1
259,5,0,15,2,0,1
260,7,0,150000,23,0,1
261,1,0,150000,3,0,1
262,9,0,150000,2,0,1
263,1,0,7500,7,0,1
264,9,0,75000,0,0,1
266,7,1,3500,2,0,1
267,5,0,75000,3,0,1
268,7,0,7500,0,0,1
270,3,2,75000,22,0,1
271,2,2,150000,3,0,1
272,2,0,750,7,0,1
273,8,2,150000,0,0,1
274,8,1,12500,18,0,1
275,3,1,150000,0,0,1
276,9,0,150000,23,1,0
277,9,0,150000,1,0,1
278,1,2,3500,1,0,1
279,0,1,7500,7,0,1
280,0,1,150000,0,0,1
281,2,0,17500,1,0,1
282,4,0,1500,1,0,1
283,6,0,400,7,0,1
284,3,1,75000,5,0,1
285,3,3,12500,0,0,1
286,6,1,150000,3,0,1
287,9,0,3500,10,0,1
288,5,0,150000,3,0,1
289,8,1,75000,22,0,1
290,9,1,3500,7,0,1
291,5,1,7500,3,0,1
292,9,0,150000,19,0,1
293,8,1,75000,0,0,1
294,4,0,12500,3,0,1
295,2,1,5,2,0,1
296,9,0,75000,0,1,0
297,8,0,750,13,0,1
298,6,1,3500,0,0,1
299,8,0,150000,0,0,1
300,0,0,75000,4,0,1
301,1,0,150000,0,0,1
302,9,0,400,11,0,1
303,9,0,150000,14,0,1
304,4,0,17500,17,0,1
305,9,0,40000,2,0,1
306,6,0,75000,18,0,1
307,8,0,7500,24,0,1
308,6,0,40000,16,0,1
309,3,0,1500,0,0,1
310,9,0,750,0,0,2
311,3,0,17500,3,0,1
312,0,0,3500,0,0,4
313,8,1,75000,3,0,1
314,0,1,3500,1,0,2
315,0,0,12500,7,0,1
316,2,0,40000,0,0,1
317,9,2,12500,4,0,1
318,4,1,12500,3,0,1
319,8,1,75000,24,0,1
320,9,0,75000,18,0,1
321,0,0,7500,0,0,1
322,7,0,75000,17,0,1
323,7,3,150000,19,0,1
324,6,0,400,13,0,1
325,8,0,150000,0,0,1
326,9,0,5,0,0,1
327,4,0,75000,22,0,1
328,1,0,150000,1,0,1
329,4,0,3500,3,0,1
330,2,0,3500,5,0,1
331,1,0,150000,1,0,1
332,4,0,75000,3,0,1
333,3,1,75000,7,0,1
334,2,1,150000,2,0,1
335,6,2,40000,0,0,1
336,5,2,25000,3,0,1
337,6,1,75000,24,0,1
338,4,1,400,2,0,1
339,7,0,17500,7,0,1
340,1,0,7500,3,0,1
341,5,1,7500,25,0,1
342,4,1,150000,0,0,1
343,9,0,400,0,0,1
344,2,0,150000,5,0,1
345,0,1,150000,3,0,1
346,4,0,75000,0,0,1
347,2,1,150000,3,1,0
348,8,0,25000,13,0,1
349,4,1,25000,2,0,1
350,7,0,400,0,0,1
351,5,0,150000,0,0,1
352,2,1,12500,11,0,1
353,1,0,40000,1,0,1
354,9,2,17500,17,0,1
355,0,0,150000,4,1,1
356,8,1,150000,2,0,1
357,6,1,17500,6,0,1
358,4,2,7500,1,0,1
359,7,0,3500,17,0,1
360,8,2,150000,2,0,1
361,8,2,75000,2,0,1
362,3,0,1500,13,0,1
363,3,2,75000,0,0,1
364,9,2,3500,24,0,1
365,6,2,150000,1,0,2
366,0,2,7500,0,0,1
367,7,2,17500,0,0,1
368,3,1,17500,0,0,1
369,7,2,150000,0,0,1
370,7,0,400,7,0,1
371,9,1,15,7,0,1
372,5,1,150000,0,0,1
373,1,2,3500,3,0,1
374,1,0,250,25,1,0
375,2,0,7500,0,0,1
376,2,0,40000,4,1,0
377,1,1,150000,3,0,1
378,0,0,7500,1,0,2
379,1,0,150000,3,0,1
380,1,0,250,7,0,1
381,2,0,1500,0,0,1
382,1,0,3500,0,0,1
383,1,0,150000,0,0,1
384,4,0,150000,0,0,1
385,7,0,12500,11,0,1
386,9,0,250,2,0,1
387,0,3,150000,1,0,1
388,5,0,150000,3,0,1
389,0,2,150000,0,0,1
390,7,0,3500,0,0,1
391,2,0,12500,3,0,1
392,1,0,40000,0,0,1
393,9,0,5,16,0,1
394,1,0,150000,0,0,1
395,7,0,3500,5,0,1
396,0,0,150000,0,0,1
397,9,0,150000,1,0,1
398,7,0,150000,1,0,1
399,3,0,75000,13,0,1
400,4,0,5,4,0,1
401,9,1,150000,0,0,1
402,0,0,25000,3,0,1
403,5,0,17500,2,0,1
404,9,0,150000,0,0,1
405,2,0,7500,5,0,1
406,9,1,7500,20,0,1
407,7,2,75000,17,0,1
408,5,0,3500,9,0,1
409,4,0,12500,3,0,3
410,7,0,150000,18,0,1
411,9,0,150000,2,0,1
412,9,1,150000,17,0,1
413,3,0,150000,0,0,1
414,9,2,150000,0,3,0
415,9,1,3500,6,0,1
416,9,0,5,3,0,1
417,0,0,75000,0,0,1
418,2,0,3500,9,0,1
419,9,2,75000,17,0,1
420,1,0,12500,3,0,1
421,3,0,150000,3,0,1
422,8,2,12500,2,0,1
423,0,0,150000,1,0,1
424,2,2,40000,3,0,1
425,3,1,17500,21,0,1
426,4,1,150000,2,0,1
427,0,1,150000,0,0,1
428,0,2,3500,25,1,0
429,3,0,150000,3,0,1
430,1,1,12500,1,0,1
431,9,0,750,17,0,1
432,4,0,750,5,1,0
433,8,0,12500,1,0,1
434,5,0,750,1,0,1
435,8,0,400,7,0,1
436,6,0,150000,1,0,1
437,4,0,40000,3,0,1
438,5,0,150000,17,0,1
439,3,0,1500,3,0,1
440,3,0,150000,3,0,1
441,3,0,30,0,0,1
442,2,0,750,7,0,1
443,0,0,150000,7,0,1
444,5,0,3500,3,0,1
445,7,0,75000,6,0,1
446,5,0,12500,0,0,1
447,5,0,400,0,0,1
448,5,0,75000,4,1,0
449,1,0,3500,5,0,1
450,7,0,25000,18,0,1
451,0,0,25000,1,0,1
452,4,0,750,0,0,1
453,3,0,1500,2,0,1
454,2,1,150,0,0,1
455,6,2,150000,4,0,1
456,1,0,75000,0,0,1
457,7,0,75000,7,0,1
458,5,0,150000,2,0,1
459,5,1,70,24,0,1
460,8,0,750,0,0,1
461,7,0,1500,13,0,1
462,2,0,150000,7,0,1
463,9,0,12500,18,0,1
464,4,1,25000,3,0,1
465,8,0,150000,7,0,1
466,8,0,400,0,0,1
467,1,0,150000,3,0,1
468,7,0,7500,0,0,1
469,6,0,150000,1,0,1
470,9,0,40000,0,0,1
471,1,0,75000,3,0,1
472,0,0,3500,0,0,1
473,9,0,150000,0,0,1
474,4,0,150000,0,1,0
475,1,0,40000,6,0,1
476,0,0,400,0,0,1
477,2,0,75000,3,0,1
478,6,0,150000,1,0,1
479,5,0,12500,4,0,1
480,3,0,12500,0,0,1
481,4,0,25000,1,0,1
482,5,0,25000,14,0,1
483,5,0,12500,3,0,1
484,4,1,7500,9,0,1
485,0,1,150000,1,0,1
486,3,0,25000,19,0,1
487,8,0,15,22,0,1
488,2,0,17500,9,0,1
489,9,0,400,0,1,0
490,5,1,150000,2,0,1
491,6,0,75000,3,0,1
492,1,0,3500,1,0,1
493,9,0,150000,24,0,1
494,3,0,7500,5,0,1
495,4,0,5,0,0,1
496,7,1,3500,18,0,1
497,3,0,3500,3,0,1
498,2,0,12500,1,0,1
499,9,0,70,0,0,1
500,3,1,17500,0,0,1
501,5,0,40000,0,0,1
502,7,0,15,0,0,1
503,4,0,150000,5,0,1
504,5,0,12500,0,0,1
505,7,1,25000,0,0,1
506,6,2,75000,0,0,1
507,9,2,150000,0,0,1
508,0,3,150000,0,0,1
509,9,0,150000,0,0,1
510,0,0,7500,15,0,1
511,4,0,17500,0,0,1
512,9,1,250,7,0,1
513,4,0,7500,0,0,1
514,4,0,40000,5,0,1
515,1,0,150000,3,0,1
516,3,0,1500,9,0,1
517,4,0,25000,0,0,1
518,5,0,12500,3,0,1
519,9,1,25000,7,0,1
520,6,0,1500,3,0,1
521,9,0,1500,3,0,1
522,2,0,40000,3,0,1
523,8,0,1500,18,0,1
524,8,1,25000,0,0,1
525,0,1,7500,0,0,1
526,5,0,12500,7,0,1
527,4,0,7500,3,0,1
528,4,1,150,3,0,1
529,7,1,12500,9,0,1
530,7,0,150,0,0,1
531,7,0,3500,0,0,1
532,9,0,12500,11,0,1
533,2,1,7500,3,0,1
534,8,0,75000,0,0,1
535,8,2,12500,2,0,1
536,2,0,12500,9,0,1
537,3,0,17500,0,0,1
538,8,1,3500,0,0,1
539,5,0,150000,13,0,1
540,5,1,750,0,0,1
541,9,0,150000,23,0,1
542,9,0,150000,2,0,1
543,9,0,150000,2,0,1
544,9,0,12500,12,0,1
545,2,0,150000,3,0,1
546,2,1,7500,24,0,1
547,5,1,7500,21,0,1
548,5,1,150000,10,0,1
549,1,0,3500,7,0,1
550,3,0,1500,0,0,1
551,7,0,3500,25,0,1
552,4,0,75000,13,0,1
553,9,0,30,0,1,0
554,7,1,25000,2,0,1
555,7,0,15,13,0,1
556,9,1,3500,2,0,1
557,1,0,150000,3,0,1
558,2,2,150000,22,0,1
559,2,0,150000,3,0,1
560,6,0,3500,0,0,1
561,8,0,3500,0,0,1
562,9,2,25000,13,0,1
563,5,1,250,0,0,1
564,0,0,75000,7,0,1
565,9,1,150000,17,0,1
566,1,1,5,1,0,1
